time,altitude,velocity,mass,fuel_mass,thrust,thrust_command,filtered_altitude,filtered_velocity,measured_altitude,measured_velocity
64.49999999999609,762.5115257819594,-0.45609506146139067,1146.5735838018827,146.5735838018827,600.0,4150.603753587076,762.4182776215965,-0.36010688387184003,762.1855497049478,-0.48610341914379146
64.5099999999961,762.5069187178977,-0.46531775087878235,1146.5708654872378,146.57086548723782,800.0,4150.596373362816,762.5011508850707,-0.3553650706410551,763.2470102563386,-0.312688751563991
64.5199999999961,762.5022281486835,-0.4727960919730762,1146.5674675939317,146.56746759393172,1000.0,4150.586533063801,762.4198459090462,-0.4201934798648314,761.6881011248258,-1.0036491628788178
64.52999999999611,762.4974715178723,-0.47853007026989464,1146.5633901219644,146.5633901219644,1200.0,4150.574232690033,762.4243929474229,-0.46240935735158184,762.4653162928128,-0.8423522547323361
64.53999999999611,762.4926662691801,-0.48251966819303194,1146.5586330713359,146.55863307133586,1400.0,4150.559472241512,762.4636476169802,-0.4631524964867775,762.8169396429965,-0.4698407487035382
64.54999999999612,762.4878298465137,-0.484764865064351,1146.553196442046,146.5531964420461,1600.0,4150.542251718236,762.4743350783847,-0.48651602879380546,762.5705222310256,-0.6967878195570569
64.55999999999612,762.4829796940029,-0.4852656371036623,1146.5470802340951,146.54708023409512,1800.0,4150.522571120207,762.5622687227109,-0.40111317778447736,763.3536715216462,0.3675124812994755
64.56999999999613,762.4781332560303,-0.48402195742858384,1146.540284447483,146.54028444748292,2000.0,4150.500430447424,762.539925939855,-0.39881287829643797,762.338840894152,-0.37811018290408355
64.57999999999613,762.473307977263,-0.4810337960543834,1146.5328090822095,146.5328090822095,2200.0,4150.475829699888,762.5381350107491,-0.4148255759754646,762.5220166487951,-0.558939855086704
64.58999999999614,762.4685213026833,-0.47630111989380164,1146.5246541382746,146.52465413827463,2400.0,4150.448768877599,762.4895701165559,-0.45352216999171263,762.0524860688168,-0.8017915161379447
64.59999999999614,762.46379067762,-0.4698238927568575,1146.5158196156785,146.51581961567854,2600.0,4150.419247980554,762.4302123093861,-0.4429951415017528,761.8959920448572,-0.34825188509211386
64.60999999999615,762.4591335477795,-0.4616020753506347,1146.5063055144212,146.50630551442123,2800.0,4150.387267008757,762.4071207093153,-0.5222046203908569,762.1992963086777,-1.2350899303927938
64.61999999999615,762.4545673592764,-0.4516356252790501,1146.4961118345027,146.4961118345027,3000.0,4150.352825962205,762.4341082853414,-0.5162955593536009,762.6769964695756,-0.4631140100182969
64.62999999999616,762.4501095586648,-0.4399244970426037,1146.485238575923,146.48523857592295,3200.0,4150.3159248409,762.5030420627438,-0.497464781209771,763.1234460593654,-0.3279877779153009
