time,altitude,velocity,mass,fuel_mass,thrust,thrust_command,filtered_altitude,filtered_velocity,measured_altitude,measured_velocity
0.0,1000.0,-30.0,1200.0,200.0,0.0,0.0,1000.0248357076506,-30.004147929035135,1000.2483570765056,-30.041479290351354
0.01,999.699919,-30.0162,1200.0,200.0,0.0,1958.5310781124467,1000.0247284637906,-29.959662240439382,1000.0237632690504,-29.559291043077593
0.02,999.399676,-30.032400000000003,1200.0,200.0,0.0,1958.4488235531978,999.9505155486753,-29.973960125103922,999.2825993126384,-30.102641087084756
0.03,999.0992709999999,-30.048600000000004,1200.0,200.0,0.0,1958.6025136021758,999.9443517345832,-29.958401070718942,999.8888774077536,-29.81836958125413
0.04,998.7987039999999,-30.064800000000005,1200.0,200.0,0.0,1958.563978597955,999.8063132418281,-29.95276416233947,998.5639668070324,-29.902031986924214
0.05,998.4979749999999,-30.081000000000007,1200.0,200.0,0.0,1958.6099571999387,999.6523085330047,-29.979559638712633,998.2662661535936,-30.220718926071083
0.060000000000000005,998.1970839999999,-30.097200000000008,1200.0,200.0,0.0,1958.7171992672693,999.5188841932825,-30.048722082181104,998.318065135783,-30.67118407339735
0.07,997.8960309999999,-30.11340000000001,1200.0,200.0,0.0,1958.8655631452762,999.2703529823285,-30.072058499840224,997.0335720837434,-30.282086258772303
0.08,997.5948159999998,-30.12960000000001,1200.0,200.0,0.0,1958.814651360987,999.052157728079,-30.068385229878345,997.0884004398326,-30.03532580022143
0.09,997.2934389999998,-30.145800000000012,1200.0,200.0,0.0,1958.7878637359938,998.8308846514951,-30.118495817930572,996.8394269622393,-30.569491110400598
0.09999999999999999,996.9918999999998,-30.162000000000013,1200.0,200.0,0.0,1958.949605241866,998.7202686247916,-30.129619525152112,997.7247243844605,-30.229732890145975
0.10999999999999999,996.6901989999998,-30.178200000000015,1200.0,200.0,0.0,1958.9063229533408,998.5206380725468,-30.177220018223306,996.7239631023438,-30.605624455864053
